,artist,title,albumart,time,channel
157,Bassnectar/ATLiens,Interlock,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493719160.7319384,Electric Area
158,Anna Lunoe & Sleepy Tom,Stay Awake,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493719400.740577,Electric Area
159,EDX,All I Know,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493719580.7521255,Electric Area
160,AprÃ©s,Prophet,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493719880.7495768,Electric Area
161,Jay Hardway,Scio,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493720120.7590628,Electric Area
162,GTA/Sam Bruno,Red Lips (Skrillex Remix),http://www.siriusxm.com/albumart/Live/1000/gtasambruno_5668EB27_m.jpg,1493720300.731659,Electric Area
163,Electric Area,fb.com/sxmElectro,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493720480.7507308,Electric Area
164,Fletcher,Wasted Youth (Michael Brun Remix),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493720540.9834538,Electric Area
165,Lucas & Steve/Pep & Rash,Feel Alive,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493720720.7355828,Electric Area
166,Tiesto/Sevenn,BOOM,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493720900.7425632,Electric Area
167,Jaded,In The Morning,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493721080.7351618,Electric Area
168,Our Psych,Don't Go,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493721260.7364602,Electric Area
169,Wuki,Let Me Go (feat. Prxzm),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493721560.7404444,Electric Area
170,Offaiah,Run,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493721680.7916071,Electric Area
171,Pierce Fulton,Life In Letters,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493721860.737776,Electric Area
172,Eric Prydz pres Pryda,Power Drive,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493722100.8451226,Electric Area
173,Deorro,Bomba,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493722400.7444437,Electric Area
174,Matroda,Get Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493722580.7979536,Electric Area
175,Chace/Yade Lauren,Something About You,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493722700.7461073,Electric Area
176,Dombresky,Technikal,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493722880.7655373,Electric Area
177,AMTRAC,Escalator,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493723120.7824266,Electric Area
178,Justin Jay,Hit It,http://www.siriusxm.com/albumart/Live/1100/justinjay_56D97DA2_m.jpg,1493723360.7505322,Electric Area
179,Jauz,The Game,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493723600.7274446,Electric Area
180,Jack Ãœ,Febreze (feat. 2 Chainz),http://www.siriusxm.com/albumart/Live/1100/jack_5686F36A_m.jpg,1493723840.7775464,Electric Area
181,The Chainsmokers,It Won't Kill Ya (feat. Louane),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493724020.7402225,Electric Area
182,Chace,Belong,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493724260.7253215,Electric Area
183,Odesza,Late Night,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493724440.7515492,Electric Area
184,Bassnectar/ATLiens,Interlock,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493724680.7570765,Electric Area
185,Tommy Trash,Love U Giv,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493724860.7134516,Electric Area
186,EDX,All I Know,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493725040.834474,Electric Area
187,MAKJ/Max Styler/Elayna Boynton,Knock Me Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493725220.7747948,Electric Area
188,Fletcher,Wasted Youth (Michael Brun Remix),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_52.jpg,1493725400.7385087,Electric Area
