,artist,title,albumart,time,channel
97,@sxmElectro #bpm,Today's Dance Hits/Remixes,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493372968.30886,
98,Cash Cash/Sofia Reyes,How To Love,http://www.siriusxm.com/albumart/Live/0930/cashcashsofi_57DB4CFF_m.jpg,1493373028.2863662,
99,Alesso,Falling,http://www.siriusxm.com/albumart/Live/0930/alesso_58FE187A_m.jpg,1493373268.2561474,
100,Armin van Buuren,I Need You (f/Fernando Garibay),http://www.siriusxm.com/albumart/Live/0930/arminvanbuur_586FAF45_m.jpg,1493373508.2790887,
101,Almand,Don't Manipulate (Slomo Remix),http://www.siriusxm.com/albumart/Live/1000/almand_58F719CE_m.jpg,1493373688.2914715,
102,Disco Killerz/Liquid Todd,In The Music,http://www.siriusxm.com/albumart/Live/1000/discokillerz_589A2D7C_m.jpg,1493373868.3843243,
103,Destructo,All Night,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493374108.30406,
104,Major Lazer/Justin Bieber/MO,Cold Water-Lost Frequencies Remix,http://www.siriusxm.com/albumart/Live/1000/majorlazerju_585DA7B6_m.jpg,1493374348.2802148,
105,Yellow Claw/DJ Snake/Elliphant,Good Day,http://www.siriusxm.com/albumart/Live/1000/yellowclawdj_58B69C20_m.jpg,1493374528.2807062,
106,Grandtheft/Delaney Jane,Easy Go,http://www.siriusxm.com/albumart/Live/1000/grandtheftde_59022052_m.jpg,1493374768.3363662,
107,Martin Jensen,Solo Dance,http://www.siriusxm.com/albumart/Live/1000/martinjensen_5840CB4D_m.jpg,1493374948.3520439,
108,Jax Jones/RAYE,You Don't Know Me,http://www.siriusxm.com/albumart/Live/1000/jaxjonesraye_58E67D58_m.jpg,1493375128.2751596,
109,Marshmello,Alone,http://www.siriusxm.com/albumart/Live/1030/marshmello_58C9589B_m.jpg,1493375428.266944,
110,Cedric Gervais,Touch the Sky,http://www.siriusxm.com/albumart/Live/1030/cedricgervai_58E6C077_m.jpg,1493375608.272876,
111,Feenixpawl/Melissa Ramsay,Ghosts,http://www.siriusxm.com/albumart/Live/1030/feenixpawlme_55F8B788_m.jpg,1493375788.346724,
112,George Acosta/Fisher,True Love,http://www.siriusxm.com/albumart/Live/1030/georgeacosta_521EA627_m.jpg,1493376088.3048928,
113,Zedd/Matthew Koma,Spectrum,http://www.siriusxm.com/albumart/Live/1030/zeddmatthewk_552A8B72_m.jpg,1493376328.2833445,
114,Daft Punk? Bear,Doin' It Right,http://www.siriusxm.com/albumart/Live/1030/daftpunkbear_58310DD3_m.jpg,1493376568.2665286,
115,Calvin Harris/Ayah Marar,Thinking About You,http://www.siriusxm.com/albumart/Live/1030/calvinharris_52680943_m.jpg,1493376808.2771876,
116,Afrojack????,Can't Stop Me-Tiesto Remix,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493377048.325141,
117,Martin Garrix/Dua Lipa,Scared To Be Lonely-Brooks Remix,http://www.siriusxm.com/albumart/Live/1100/martingarrix_58B9C94C_m.jpg,1493377288.2710776,
118,@sxmElectro #bpm,Today's Dance Hits/Remixes,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493377468.37308,
119,David Guetta/Nicky Romero/Sia,Wild One Two,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493377528.274233,
120,The Chainsmokers/Chris Martin,Something Just Like This-Dirty Nano,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493377768.2703474,
121,San Holo,Light,http://www.siriusxm.com/albumart/Live/1100/sanholo_584C295E_m.jpg,1493378008.314384,
122,k?d,Lose Myself,http://www.siriusxm.com/albumart/Live/1100/kd_58CCD161_m.jpg,1493378248.264905,
123,Steve Aoki/Chris Lake/Tujamo/Kid In,Delirious (Boneless),http://www.siriusxm.com/albumart/Live/1100/steveaokichr_5540E7CE_m.jpg,1493378488.2898905,
124,Morgan Page feat. Lissie,Don't Give Up,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493378668.2819884,
125,Nervo,In Your Arms,http://www.siriusxm.com/albumart/Live/1100/nervo_58C79CFF_m.jpg,1493378908.2702925,
126,Audien/Max,One More Weekend,http://www.siriusxm.com/albumart/Live/1130/audienmax_58F75B80_m.jpg,1493379088.2698946,
127,SiriusXM Chill,Ch53 Downtempo/Deep House,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493379268.2710314,
128,Kaskade/Ilsey,Disarm You,http://www.siriusxm.com/albumart/Live/1130/kaskadeilsey_58C79B48_m.jpg,1493379328.3080525,
129,Bonnie x Clyde,Bass Jam,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493379568.255146,
130,Tritonal/Sj,Hung Up,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493379808.3783011,
131,Kungs/Ephemerals,I Feel So Bad,http://www.siriusxm.com/albumart/Live/1130/kungsephemer_58E2DF4C_m.jpg,1493379988.4544597,
132,Gryffin/Illenium/Daya,Feel Good,http://www.siriusxm.com/albumart/Live/1130/gryffinillen_58C0D773_m.jpg,1493380168.2807574,
133,Mr Probz/Robin Schulz,Waves Remix,http://www.siriusxm.com/albumart/Live/1130/mrprobzrobin_536D69D8_m.jpg,1493380408.2725875,
134,Major Lazer/PartyNextDoor/Nicki Min,Run Up,http://www.siriusxm.com/albumart/Live/1130/majorlazerpa_589083D0_m.jpg,1493380588.2753124,
135,Galantis,No Money,http://www.siriusxm.com/albumart/Live/1200/galantis_58C7E6EE_m.jpg,1493380828.2648304,
136,Cash Cash,Take Me Home,http://www.siriusxm.com/albumart/Live/1200/cashcashbebe_533F25CA_m.jpg,1493381008.2959435,
137,Armin van Buuren,I Need You (f/Fernando Garibay),http://www.siriusxm.com/albumart/Live/1200/arminvanbuur_586FAF45_m.jpg,1493381188.3639812,
138,Above & Beyond/Zoe Johnston,We're All We Need,http://www.siriusxm.com/albumart/Live/1200/abovebeyondz_5505ABF3_m.jpg,1493381428.2719586,
