,channel,artist,title,albumart,time
819,Alt Nation,Mikky Ekko,What's It Like Now,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527195555.6228454
820,Alt Nation,Walk The Moon,Kamikaze,http://www.siriusxm.com/albumart/Live/2100/walkthemoon_5A983D9B_m.jpg,1527195795.642738
821,Alt Nation,Portugal. The Man,So Young,http://www.siriusxm.com/albumart/Live/2100/portugalthem_598E191E_m.jpg,1527195975.6955307
822,Alt Nation,Killers,Somebody Told Me,http://www.siriusxm.com/albumart/Live/2100/thekillers_5B066808_m.jpg,1527196215.3238652
823,Alt Nation,@radiomadison,fb.com/altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527196395.2967627
824,Alt Nation,Odesza/Naomi Wild,Higher Ground,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527196455.3229704
825,Alt Nation,MGMT,Kids,http://www.siriusxm.com/albumart/Live/2100/mgmt_55F1AB25_m.jpg,1527196635.3405027
826,Alt Nation,BottleRock 2018,Tomorrow 3pET,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527196935.3698184
827,Alt Nation,Nathaniel Rateliff & The Night Swea,You Worry Me,http://www.siriusxm.com/albumart/Live/2100/nathanielrat_5AA3D37E_m.jpg,1527196995.3940222
828,Alt Nation,Blink-182,First Date,http://www.siriusxm.com/albumart/Live/2100/blink182_582241F7_m.jpg,1527197235.6783464
829,Alt Nation,NoMBe/Big Data,Drama,http://www.siriusxm.com/albumart/Live/2100/nombebigdata_5AA3EB96_m.jpg,1527197355.6306484
830,Alt Nation,Black Keys,Gold on the Ceiling,http://www.siriusxm.com/albumart/Live/2130/blackkeys_581113B3_m.jpg,1527197595.6654768
831,Alt Nation,@altnation,fb.com/altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527197775.685128
832,Alt Nation,Mike Shinoda,Crossing A Line,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527197835.6942358
833,Alt Nation,Sir Sly,&Run,http://www.siriusxm.com/albumart/Live/2130/sirsly_5AA5424E_m.jpg,1527198015.619301
834,Alt Nation,Morgxn,Carry The Weight,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527198315.6385472
835,Alt Nation,Mumford & Sons,Little Lion Man,http://www.siriusxm.com/albumart/Live/2130/mumfordsons_5B06A6B0_m.jpg,1527198495.641041
836,Alt Nation,#PopRocks101,Memorial Day Weekend,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527198735.6633544
837,Alt Nation,Thirty Seconds To Mars,Dangerous Night,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527198795.7105176
838,Alt Nation,fb.com/altnation,@altnation,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527198975.3425946
839,Alt Nation,Bear Hands,Back Seat Driver (Spirit Guide),http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527199035.6733932
840,Alt Nation,Thursday DL,w/ @kadeshow,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527199275.2943358
841,Alt Nation,Florence & The Machine,Dog Days Are Over,http://www.siriusxm.com/albumart/Live/2200/florencethem_57CA8652_m.jpg,1527199335.5581384
842,Alt Nation,AJR,Burn The House Down,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_36.jpg,1527199635.687775
843,Alt Nation,Cold War Kids,First,http://www.siriusxm.com/albumart/Live/2200/coldwarkids_5B06DF89_m.jpg,1527199815.7073677
844,Alt Nation,Vance Joy,Saturday Sun,http://www.siriusxm.com/albumart/Live/2200/vancejoy_5AA3E5ED_m.jpg,1527199995.2895632
845,Alt Nation,Silversun Pickups,Panic Switch,http://www.siriusxm.com/albumart/Live/2200/silversunpic_51925719_m.jpg,1527200235.3324866
